County,State,Estimate_Households_Median_income
Autauga County, Alabama,57982
Baldwin County, Alabama,61756
Barbour County, Alabama,34990
Bibb County, Alabama,51721
Blount County, Alabama,48922
Bullock County, Alabama,33866
Butler County, Alabama,44850
Calhoun County, Alabama,50128
Chambers County, Alabama,43875
Cherokee County, Alabama,42509
Chilton County, Alabama,52141
Choctaw County, Alabama,36634
Clarke County, Alabama,37345
Clay County, Alabama,42678
Cleburne County, Alabama,46320
Coffee County, Alabama,56799
Colbert County, Alabama,47962
Conecuh County, Alabama,35444
Coosa County, Alabama,43571
Covington County, Alabama,42566
Crenshaw County, Alabama,42611
Cullman County, Alabama,48388
Dale County, Alabama,45644
Dallas County, Alabama,33317
DeKalb County, Alabama,42267
Elmore County, Alabama,62324
Escambia County, Alabama,35558
Etowah County, Alabama,44934
Fayette County, Alabama,41469
Franklin County, Alabama,41174
Geneva County, Alabama,41569
Greene County, Alabama,26688
Hale County, Alabama,30793
Henry County, Alabama,51715
Houston County, Alabama,49069
Jackson County, Alabama,42578
Jefferson County, Alabama,55088
Lamar County, Alabama,42688
Lauderdale County, Alabama,48428
Lawrence County, Alabama,47125
Lee County, Alabama,52930
Limestone County, Alabama,64270
Lowndes County, Alabama,33634
Macon County, Alabama,35450
Madison County, Alabama,66887
Marengo County, Alabama,33029
Marion County, Alabama,40978
Marshall County, Alabama,50216
Mobile County, Alabama,49625
Monroe County, Alabama,31969
Montgomery County, Alabama,51963
Morgan County, Alabama,52923
Perry County, Alabama,23875
Pickens County, Alabama,40362
Pike County, Alabama,39218
Randolph County, Alabama,45141
Russell County, Alabama,42208
St. Clair County, Alabama,62531
Shelby County, Alabama,78889
Sumter County, Alabama,26150
Talladega County, Alabama,43969
Tallapoosa County, Alabama,48160
Tuscaloosa County, Alabama,54283
Walker County, Alabama,45833
Washington County, Alabama,42331
Wilcox County, Alabama,35063
Winston County, Alabama,40991
Aleutians East Borough, Alaska,75833
Aleutians West Census Area, Alaska,87443
Anchorage Municipality, Alaska,84813
Bethel Census Area, Alaska,54400
Bristol Bay Borough, Alaska,79808
Chugach Census Area, Alaska,90776
Copper River Census Area, Alaska,64745
Denali Borough, Alaska,76364
Dillingham Census Area, Alaska,57436
Fairbanks North Star Borough, Alaska,76464
Haines Borough, Alaska,65014
Hoonah-Angoon Census Area, Alaska,59926
Juneau City and Borough, Alaska,88077
Kenai Peninsula Borough, Alaska,69245
Ketchikan Gateway Borough, Alaska,74678
